"step","time(sec)","fundamental","waveform","sawtooth","square","random"
0,0,0,0,0,1,0.106315
1,2.26757e-05,0.0314098,0.312167,0.005,1,0.815298
2,4.53515e-05,0.0627887,0.61259,0.01,1,0.432586
3,6.80272e-05,0.0941055,0.89028,0.015,1,0.90121
4,9.07029e-05,0.12533,1.1357,0.02,1,0.980279
5,0.000113379,0.15643,1.34136,0.025,1,0.58641
6,0.000136054,0.187376,1.50224,0.03,1,0.697255
7,0.00015873,0.218137,1.61602,0.035,1,0.53243
8,0.000181406,0.248683,1.68319,0.04,1,0.88931
9,0.000204082,0.278983,1.70681,0.045,1,0.25071
10,0.000226757,0.309008,1.69225,0.05,1,0.692612
11,0.000249433,0.338728,1.64662,0.055,1,0.518734
12,0.000272109,0.368114,1.57825,0.06,1,0.303518
13,0.000294785,0.397137,1.49596,0.065,1,0.487881
14,0.00031746,0.425768,1.40845,0.07,1,0.891485
15,0.000340136,0.453978,1.32363,0.075,1,0.880456
16,0.000362812,0.481741,1.24813,0.08,1,0.577921
17,0.000385488,0.509028,1.18688,0.085,1,0.444938
18,0.000408163,0.535813,1.14294,0.09,1,0.184341
19,0.000430839,0.562069,1.11733,0.095,1,0.428484
20,0.000453515,0.58777,1.10926,0.1,1,0.550525
21,0.00047619,0.612892,1.11627,0.105,1,0.818363
22,0.000498866,0.637408,1.13466,0.11,1,0.465487
23,0.000521542,0.661296,1.15997,0.115,1,0.704301
24,0.000544218,0.684531,1.18737,0.12,1,0.811351
25,0.000566893,0.70709,1.21226,0.125,1,0.373016
26,0.000589569,0.728952,1.23061,0.13,1,0.818697
27,0.000612245,0.750095,1.23936,0.135,1,0.713593
28,0.000634921,0.770497,1.23662,0.14,1,0.691444
29,0.000657596,0.790139,1.22181,0.145,1,0.606696
30,0.000680272,0.809001,1.19559,0.15,1,0.449607
31,0.000702948,0.827064,1.15975,0.155,1,0.536398
32,0.000725624,0.844312,1.11698,0.16,1,0.393283
33,0.000748299,0.860726,1.07048,0.165,1,0.143547
34,0.000770975,0.876292,1.02368,0.17,1,0.866866
35,0.000793651,0.890992,0.979858,0.175,1,0.222254
36,0.000816327,0.904813,0.941811,0.18,1,0.132355
37,0.000839002,0.917741,0.911599,0.185,1,0.941872
38,0.000861678,0.929764,0.890372,0.19,1,0.244942
39,0.000884354,0.940869,0.878299,0.195,1,0.776243
40,0.000907029,0.951045,0.874589,0.2,1,0.348072
41,0.000929705,0.960283,0.877621,0.205,1,0.580064
42,0.000952381,0.968573,0.885138,0.21,1,0.160471
43,0.000975057,0.975908,0.894511,0.215,1,0.83386
44,0.000997732,0.98228,0.903022,0.22,1,0.778985
45,0.00102041,0.987682,0.908146,0.225,1,0.19384
46,0.00104308,0.992109,0.907808,0.23,1,0.0190368
