"sec","10","sin(1Hz,0.7071Vrms)","cos(1Hz,0.7071Vrms)","sin(50Hz,0.7071Vrms)","cos(500Hz,1Vrms)","271Hz+50Hz+1Hz","271Hz+500Hz+10V"
0 , 10 , 0 , 1 , 0 , 1 , 1 , 11
0.001 , 10 , 0.00628314 , 0.99998 , 0.309017 , -1 , 2.3003 , 9.99131
0.002 , 10 , 0.012566 , 0.999921 , 0.587785 , 1 , 1.32686 , 10.7392
0.003 , 10 , 0.0188484 , 0.999822 , 0.809017 , -1 , 0.886167 , 8.07733
0.004 , 10 , 0.0251301 , 0.999684 , 0.951057 , 1 , 2.45436 , 11.5036
0.005 , 10 , 0.0314108 , 0.999507 , 1 , -1 , 2.78966 , 9.79016
0.006 , 10 , 0.0376902 , 0.999289 , 0.951057 , 1 , 1.23881 , 10.2885
0.007 , 10 , 0.0439681 , 0.999033 , 0.809017 , -1 , 1.20512 , 8.39707
0.008 , 10 , 0.0502443 , 0.998737 , 0.587785 , 1 , 2.45671 , 11.8702
0.009 , 10 , 0.0565185 , 0.998402 , 0.309017 , -1 , 1.68138 , 9.37396
0.01 , 10 , 0.0627905 , 0.998027 , 1.22461e-16 , 1 , 0.0294436 , 10.0314
0.011 , 10 , 0.06906 , 0.997613 , -0.309017 , -1 , 0.569498 , 8.8809
0.012 , 10 , 0.0753268 , 0.997159 , -0.587785 , 1 , 1.40929 , 11.9999
0.013 , 10 , 0.0815906 , 0.996666 , -0.809017 , -1 , 0.0436382 , 8.85599
0.014 , 10 , 0.0878512 , 0.996134 , -0.951057 , 1 , -0.916951 , 10.038
0.015 , 10 , 0.0941083 , 0.995562 , -1 , -1 , 0.39271 , 9.39715
0.016 , 10 , 0.100362 , 0.994951 , -0.951057 , 1 , 0.901421 , 11.8575
0.017 , 10 , 0.106611 , 0.994301 , -0.809017 , -1 , -0.437504 , 8.37721
0.018 , 10 , 0.112856 , 0.993611 , -0.587785 , 1 , -0.287827 , 10.3063
0.019 , 10 , 0.119097 , 0.992883 , -0.309017 , -1 , 1.48917 , 9.80531
0.02 , 10 , 0.125333 , 0.992115 , -2.44921e-16 , 1 , 1.47387 , 11.4818
0.021 , 10 , 0.131564 , 0.991308 , 0.309017 , -1 , 0.368254 , 8.06793
0.022 , 10 , 0.13779 , 0.990461 , 0.587785 , 1 , 1.34175 , 10.7635
0.023 , 10 , 0.144011 , 0.989576 , 0.809017 , -1 , 2.79289 , 9.9943
0.024 , 10 , 0.150226 , 0.988652 , 0.951057 , 1 , 1.91458 , 10.9749
0.025 , 10 , 0.156434 , 0.987688 , 1 , -1 , 1 , 8.01231
0.026 , 10 , 0.162637 , 0.986686 , 0.951057 , 1 , 2.22276 , 11.285
0.027 , 10 , 0.168833 , 0.985645 , 0.809017 , -1 , 2.70735 , 9.91269
0.028 , 10 , 0.175023 , 0.984564 , 0.587785 , 1 , 1.04717 , 10.4748
0.029 , 10 , 0.181206 , 0.983445 , 0.309017 , -1 , 0.517959 , 8.2255
0.03 , 10 , 0.187381 , 0.982287 , 3.67382e-16 , 1 , 1.71126 , 11.729
0.031 , 10 , 0.193549 , 0.981091 , -0.309017 , -1 , 1.25476 , 9.58269
0.032 , 10 , 0.19971 , 0.979855 , -0.587785 , 1 , -0.490221 , 10.1177
0.033 , 10 , 0.205863 , 0.978581 , -0.809017 , -1 , -0.18097 , 8.64947
0.034 , 10 , 0.212007 , 0.977268 , -0.951057 , 1 , 1.00074 , 11.9745
0.035 , 10 , 0.218143 , 0.975917 , -1 , -1 , 0.0700251 , 9.09411
