"X","-2*log(X)+3","3*exp(-0.2*X)","0.5*X^-0.3","0.1/X+3","1.0/(0.3*X+0.4)","X/(0.3+0.7*X)","0.55*sqrt(X)-0.75"
1 , 3 , 2.45619 , 0.5 , 3.1 , 1.42857 , 1 , -0.2
2 , 1.61371 , 2.01096 , 0.406126 , 3.05 , 1 , 1.17647 , 0.0278175
3 , 0.802775 , 1.64643 , 0.359612 , 3.03333 , 0.769231 , 1.25 , 0.202628
4 , 0.227411 , 1.34799 , 0.329877 , 3.025 , 0.625 , 1.29032 , 0.35
5 , -0.218876 , 1.10364 , 0.308517 , 3.02 , 0.526316 , 1.31579 , 0.479837
6 , -0.583519 , 0.903583 , 0.292095 , 3.01667 , 0.454545 , 1.33333 , 0.597219
7 , -0.89182 , 0.739791 , 0.278895 , 3.01429 , 0.4 , 1.34615 , 0.705163
8 , -1.15888 , 0.60569 , 0.267943 , 3.0125 , 0.357143 , 1.35593 , 0.805635
9 , -1.39445 , 0.495897 , 0.258641 , 3.01111 , 0.322581 , 1.36364 , 0.9
10 , -1.60517 , 0.406006 , 0.250594 , 3.01 , 0.294118 , 1.36986 , 0.989253
11 , -1.79579 , 0.332409 , 0.24353 , 3.00909 , 0.27027 , 1.375 , 1.07414
12 , -1.96981 , 0.272154 , 0.237255 , 3.00833 , 0.25 , 1.37931 , 1.15526
13 , -2.1299 , 0.222821 , 0.231626 , 3.00769 , 0.232558 , 1.38298 , 1.23305
14 , -2.27811 , 0.18243 , 0.226533 , 3.00714 , 0.217391 , 1.38614 , 1.30791
15 , -2.4161 , 0.149361 , 0.221893 , 3.00667 , 0.204082 , 1.38889 , 1.38014
16 , -2.54518 , 0.122287 , 0.217638 , 3.00625 , 0.192308 , 1.3913 , 1.45
17 , -2.66643 , 0.10012 , 0.213715 , 3.00588 , 0.181818 , 1.39344 , 1.51771
18 , -2.78074 , 0.0819712 , 0.210082 , 3.00556 , 0.172414 , 1.39535 , 1.58345
19 , -2.88888 , 0.0671123 , 0.206702 , 3.00526 , 0.163934 , 1.39706 , 1.64739
20 , -2.99146 , 0.0549469 , 0.203545 , 3.005 , 0.15625 , 1.3986 , 1.70967
21 , -3.08904 , 0.0449867 , 0.200588 , 3.00476 , 0.149254 , 1.4 , 1.77042
22 , -3.18208 , 0.036832 , 0.197808 , 3.00455 , 0.142857 , 1.40127 , 1.82973
23 , -3.27099 , 0.0301555 , 0.195187 , 3.00435 , 0.136986 , 1.40244 , 1.88771
24 , -3.35611 , 0.0246892 , 0.192711 , 3.00417 , 0.131579 , 1.40351 , 1.94444
25 , -3.43775 , 0.0202138 , 0.190365 , 3.004 , 0.126582 , 1.40449 , 2
26 , -3.51619 , 0.0165497 , 0.188139 , 3.00385 , 0.121951 , 1.40541 , 2.05446
27 , -3.59167 , 0.0135497 , 0.186021 , 3.0037 , 0.117647 , 1.40625 , 2.10788
28 , -3.66441 , 0.0110936 , 0.184002 , 3.00357 , 0.113636 , 1.40704 , 2.16033
29 , -3.73459 , 0.00908266 , 0.182075 , 3.00345 , 0.10989 , 1.40777 , 2.21184
30 , -3.80239 , 0.00743626 , 0.180233 , 3.00333 , 0.106383 , 1.40845 , 2.26247
31 , -3.86797 , 0.00608829 , 0.178468 , 3.00323 , 0.103093 , 1.40909 , 2.31227
32 , -3.93147 , 0.00498467 , 0.176777 , 3.00312 , 0.1 , 1.40969 , 2.36127
33 , -3.99302 , 0.0040811 , 0.175152 , 3.00303 , 0.0970874 , 1.41026 , 2.40951
34 , -4.05272 , 0.00334133 , 0.173591 , 3.00294 , 0.0943396 , 1.41079 , 2.45702
35 , -4.1107 , 0.00273565 , 0.172088 , 3.00286 , 0.0917431 , 1.41129 , 2.50384
36 , -4.16704 , 0.00223976 , 0.170639 , 3.00278 , 0.0892857 , 1.41176 , 2.55
37 , -4.22184 , 0.00183376 , 0.169243 , 3.0027 , 0.0869565 , 1.41221 , 2.59552
38 , -4.27517 , 0.00150135 , 0.167894 , 3.00263 , 0.0847458 , 1.41264 , 2.64043
39 , -4.32712 , 0.0012292 , 0.166591 , 3.00256 , 0.0826446 , 1.41304 , 2.68475
40 , -4.37776 , 0.00100639 , 0.16533 , 3.0025 , 0.0806452 , 1.41343 , 2.72851
41 , -4.42714 , 0.000823961 , 0.16411 , 3.00244 , 0.0787402 , 1.41379 , 2.77172
42 , -4.47534 , 0.000674602 , 0.162928 , 3.00238 , 0.0769231 , 1.41414 , 2.81441
43 , -4.5224 , 0.000552317 , 0.161782 , 3.00233 , 0.075188 , 1.41447 , 2.85659
44 , -4.56838 , 0.000452199 , 0.16067 , 3.00227 , 0.0735294 , 1.41479 , 2.89829
45 , -4.61332 , 0.000370229 , 0.15959 , 3.00222 , 0.0719424 , 1.41509 , 2.93951
46 , -4.65728 , 0.000303118 , 0.158541 , 3.00217 , 0.0704225 , 1.41538 , 2.98028
47 , -4.7003 , 0.000248172 , 0.157522 , 3.00213 , 0.0689655 , 1.41566 , 3.02061
48 , -4.7424 , 0.000203186 , 0.15653 , 3.00208 , 0.0675676 , 1.41593 , 3.06051
49 , -4.78364 , 0.000166355 , 0.155565 , 3.00204 , 0.0662252 , 1.41618 , 3.1
50 , -4.82405 , 0.0001362 , 0.154625 , 3.002 , 0.0649351 , 1.41643 , 3.13909
51 , -4.86365 , 0.000111511 , 0.153709 , 3.00196 , 0.0636943 , 1.41667 , 3.17779
52 , -4.90249 , 9.12974e-05 , 0.152816 , 3.00192 , 0.0625 , 1.41689 , 3.21611
53 , -4.94058 , 7.4748e-05 , 0.151945 , 3.00189 , 0.0613497 , 1.41711 , 3.25406
54 , -4.97797 , 6.11985e-05 , 0.151096 , 3.00185 , 0.060241 , 1.41732 , 3.29166
55 , -5.01467 , 5.01051e-05 , 0.150266 , 3.00182 , 0.0591716 , 1.41753 , 3.32891
56 , -5.0507 , 4.10226e-05 , 0.149456 , 3.00179 , 0.0581395 , 1.41772 , 3.36582
57 , -5.0861 , 3.35865e-05 , 0.148665 , 3.00175 , 0.0571429 , 1.41791 , 3.40241
58 , -5.12089 , 2.74983e-05 , 0.147891 , 3.00172 , 0.0561798 , 1.41809 , 3.43868
59 , -5.15507 , 2.25137e-05 , 0.147134 , 3.00169 , 0.0552486 , 1.41827 , 3.47463
60 , -5.18869 , 1.84326e-05 , 0.146394 , 3.00167 , 0.0543478 , 1.41844 , 3.51028
61 , -5.22175 , 1.50914e-05 , 0.14567 , 3.00164 , 0.0534759 , 1.4186 , 3.54564
62 , -5.25427 , 1.23558e-05 , 0.144961 , 3.00161 , 0.0526316 , 1.41876 , 3.5807
63 , -5.28627 , 1.0116e-05 , 0.144267 , 3.00159 , 0.0518135 , 1.41892 , 3.61549
64 , -5.31777 , 8.28232e-06 , 0.143587 , 3.00156 , 0.0510204 , 1.41907 , 3.65
65 , -5.34877 , 6.78099e-06 , 0.142921 , 3.00154 , 0.0502513 , 1.41921 , 3.68424
66 , -5.37931 , 5.5518e-06 , 0.142268 , 3.00152 , 0.049505 , 1.41935 , 3.71822
67 , -5.40939 , 4.54543e-06 , 0.141627 , 3.00149 , 0.0487805 , 1.41949 , 3.75194
68 , -5.43902 , 3.72149e-06 , 0.140999 , 3.00147 , 0.0480769 , 1.41962 , 3.78542
69 , -5.46821 , 3.04689e-06 , 0.140383 , 3.00145 , 0.0473934 , 1.41975 , 3.81864
70 , -5.49699 , 2.49459e-06 , 0.139779 , 3.00143 , 0.046729 , 1.41988 , 3.85163
71 , -5.52536 , 2.04239e-06 , 0.139185 , 3.00141 , 0.0460829 , 1.42 , 3.88438
72 , -5.55333 , 1.67217e-06 , 0.138602 , 3.00139 , 0.0454545 , 1.42012 , 3.9169
73 , -5.58092 , 1.36906e-06 , 0.13803 , 3.00137 , 0.044843 , 1.42023 , 3.9492
74 , -5.60813 , 1.12089e-06 , 0.137468 , 3.00135 , 0.0442478 , 1.42035 , 3.98128
75 , -5.63498 , 9.17707e-07 , 0.136915 , 3.00133 , 0.0436681 , 1.42045 , 4.01314
76 , -5.66147 , 7.51355e-07 , 0.136372 , 3.00132 , 0.0431034 , 1.42056 , 4.04479
77 , -5.68761 , 6.15157e-07 , 0.135838 , 3.0013 , 0.0425532 , 1.42066 , 4.07623
78 , -5.71342 , 5.03648e-07 , 0.135314 , 3.00128 , 0.0420168 , 1.42077 , 4.10747
79 , -5.7389 , 4.12352e-07 , 0.134798 , 3.00127 , 0.0414938 , 1.42086 , 4.13851
80 , -5.76405 , 3.37606e-07 , 0.13429 , 3.00125 , 0.0409836 , 1.42096 , 4.16935
81 , -5.7889 , 2.76408e-07 , 0.13379 , 3.00123 , 0.0404858 , 1.42105 , 4.2
82 , -5.81344 , 2.26304e-07 , 0.133299 , 3.00122 , 0.04 , 1.42114 , 4.23046
83 , -5.83768 , 1.85282e-07 , 0.132815 , 3.0012 , 0.0395257 , 1.42123 , 4.26074
84 , -5.86163 , 1.51696e-07 , 0.132339 , 3.00119 , 0.0390625 , 1.42132 , 4.29083
